arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
5.03	6.98	5.58	7.94	3.28	3.74	6.47	6.22	5.98	5.28	6.48	4.05	2.3	11.18	2.3	6.9525	9.16	10.6433	10.775	9.27	6.765	10.94	4.9533	4.005	12.37	7.1225	10.07	10.475	11.15	6.5825	4.125	4.8	4.835	2.3	12.39	12.56	6.77	8.51	6.96	5.03	7.53	8.86	7.85	7.47	8.45	9.23	4.22	7.62	4.86	6.15	5.26	5.54	5.09	5.11	8.5	8.87	4.94	8.97	9.1	8.32	6.77	8.08	3.46	4.64	6.78	3.65	7.18	5.4	8.89	8.39	9.33	5.6	7.7	6.28	10.6	8.03	4.64	5.57
4.08	6.72	4.6	7.92	3.45	3.75	6.74	5.33	5.76	6.92	5.52	6.44	8.33	11.12	2.3	6.905	8.515	10.61	9.595	7.55	6.6725	10.67	6.7633	5.465	10.94	7.5625	6.65	10.6	10.36	6.7475	6.725	4.915	6.16	4.125	12.42	13.42	4.77	7.73	6.87	4.87	7.82	7.46	8.66	7.17	8.05	7.7	4.26	7.04	5.24	6.5	6.27	5.61	5.21	6.39	7.77	8.32	4.7	7.39	8.38	8.57	6.77	8.08	3.35	4.27	6.28	6.3	6.82	5.77	8.87	7.96	8.39	6.56	7.27	5.09	9.42	6.58	5.66	5
7.59	6.66	4.75	6.58	3.31	3.56	6.2	6.66	5.91	3.52	4.85	4.06	2.3	5.59	5.0633	6.6675	8.245	10.0567	9.45	7.78	6.4275	10.07	9.2	8.81	11.28	7.265	2.3	8.97	8.13	5.025	5.96	4.05	4.3	2.3	11.32	11.96	6.57	8.93	7.83	6.26	7.02	7.06	8.84	7.59	8.81	6.39	7.64	3.93	8.07	6.31	5.39	9.15	4.66	5.1	5.7	8.77	6.96	5.57	8.93	8.39	6.58	7.47	6.34	4.03	7.94	3.7	8.33	7.66	8.65	9.54	7.43	5.37	7.72	7.6	9.99	7.77	4.54	4.52
4.86	6.31	4.7	7.56	3.15	3.65	7.16	5.51	5.63	4.57	5.84	4.17	6.28	10.56	2.3	7.305	8.275	9.84	9.985	7.93	7.425	9.61	7.4533	6.805	11.34	8.1525	7.13	11.295	12	7.045	4.74	5.09	5.105	4.03	12.18	12.08	4.06	8.39	7.32	4.76	7.56	7.04	8.62	8	9.03	7.86	4.16	7.99	5	6.27	5.57	5.78	4.78	5.91	7.72	8.4	4.13	7.62	8.65	8.53	7.32	8.43	3.25	4.81	6.67	3.7	6.36	5.7	9.21	8.44	8.47	6.3	5.33	5.31	9.54	7.67	5.96	4.82
4.01	6.99	4.96	6.7	3.28	3.74	6.54	6.51	5.6	3.46	6.43	4	2.3	7.4	6.1033	6.3975	10.415	10.8867	10.395	8.2	6.86	11.33	9.39	7.715	11.35	6.7325	2.3	9.37	10.18	6.2475	6.545	4.55	4.645	6.23	10.62	10.49	6.7	8.36	7.52	6.85	6.99	7.2	8.2	7.88	8.75	6.07	7.11	3.89	8.26	6.09	6.21	9.71	4.6	5.19	6.21	8.44	6.7	7.03	7.8	8.46	6.23	8	9.08	3.59	8.76	3.71	8.02	5.92	9.09	9.15	9.27	5.48	8.42	7.67	9.22	8.37	6.23	4.6
4.46	6.73	4.9	6.82	3.72	3.29	7.41	6.7	5.78	4.92	4.93	6.68	5.22	6.95	4.4433	6.0775	9.355	10.6467	10.075	8	6.3125	10.66	3.31	2.3	11.37	7.26	7.82	10.605	11.9	6.74	2.3	3.815	4.66	2.3	11.91	12.92	4.4	8.58	7.62	4.94	7.07	6.92	9.2	8.1	8.79	7.77	4.15	7.81	4.65	6.03	6.64	5.64	4.53	6.79	8.65	7.96	4.65	7.27	8.09	8.57	6.93	7.39	3.7	3.66	6.72	4.93	6.69	5.69	9.14	8.27	8.55	5.28	7.76	6.21	9.98	7.87	6.38	5.88
4.21	7.61	4.78	7.22	5.62	3.59	6.72	6.11	5.97	5.61	5.52	5.47	2.3	10.23	2.3	6.6125	8.995	10.1233	9.2	7.2	6.54	9.74	3.63	2.3	10.66	7.7325	7.31	10.01	10.74	6.345	4.195	4	4.61	2.3	11.94	12.85	6.69	8.58	8.24	5.01	7.52	7.61	8.97	7.31	9.48	7.46	4.31	6.76	4.98	6.34	5.31	5.37	5.17	6.43	7.56	8.51	4.53	6.75	7.94	9.14	7.09	7.9	3.39	3.69	7.25	5.59	7.28	6	8.74	8.35	8.9	5.22	6.91	6.58	9.08	8.23	4.65	4.48
2.87	5.4	5.55	6.72	2.83	4.74	2.3	2.46	8.73	8.59	4.73	6.8825	9.14	10.89	9.625	7.82	6.06	10.64	3.5633	4.195	11.27	7.745	2.3	9.435	9.2	5.9725	3.985	4.53	4.385	2.3	11.5	11.95	3.17	7.83	7.19	3.3	10.15	7.16	4.94	7.2	2.56	6.63	2.65	3.28	4.09	2.34	3.48	6.58	8.52	2.48	8.82	8.6	8.86	5.35	3.41	2.95	5.05	5.22	4.43	7.26	6.58	8.54	3.38	6.45	3.69	3.53	4.27084	6	8.74	8.35	8.9	5.22	6.91	6.58	9.08	8.23	4.65	4.48
4.21	6.15	4.53	6.82	3.49	3.65	6.51	5.78	5.84	5.35	5.27	4.04	7.91	10.85	6.6433	7.365	9.605	10.8	10.095	8.42	7.0825	11.1	4.93	4.08	11.72	7.825	7.26	10.655	10.48	7.045	6.57	4.8	4.575	4.34	13.16	13.7	6.88	8.34	7.31	6.11	7.57	7.1	9.03	7.93	9.24	6.83	4.23	6.77	5.3	6.3	5.41	5.24	4.89	5.41	7.87	8.32	4.18	6.08	7.71	9.13	6.31	7.55	3.27	3.69	7.04	6.46	5.78	5.59	8.51	8.37	9.05	5.61	5.31	7.41	9.37	7.74	4.53	4.9
4.67	6.36	4.89	7.79	4.46	3.57	7.31	6.15	5.63	4.53	6.02	4.11	3.63	6.22	2.4867	6.6225	9.08	10	10.36	9.33	6.715	10.1	6.7433	4.87	12.83	7.675	2.3	10.13	10.6	6.6175	3.005	4.065	4.65	2.59	12.63	12.96	4.59	8.13	7.31	4.74	7.88	8.1	8.71	7.7	8.59	7.78	4.13	7.49	4.82	6.31	5.05	4.92	4.8	5.28	8.04	8.29	4.54	6.36	7.73	9.43	7.08	7.38	3.3	3.63	6.68	5.34	7.4	5.23	8.57	8.25	8.97	5.83	6.87	6.62	8.76	8.02	4.9	5.04
