arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
0.0174372	-0.159457	0.0717757	-0.336634	0.0964947	0.115877	0.120769	0.115123	-0.555451	-0.248709	-0.226623	0.298207	0.197836	-0.20896	0.185124	-0.0424215	-0.0443339	-0.0538153	-0.0864529	-0.0767301	0.0135257	-0.0806649	0.223643	0.170694	-0.0326919	0.030882	-0.521198	-0.0355126	-0.0635098	-0.042804	0.113497	-0.0528924	-0.00927277	0.127832	-0.118968	-0.0730511	-0.24299	-0.00219135	0.0512677	0.0305514	0.0113864	-0.155673	0.0805567	-0.0202827	0.0664997	-0.202475	0.0123977	-0.127583	0.0564684	0.0146427	0.0248325	-0.0140665	-0.0149296	0.0620334	-0.165045	-0.061551	0.0321504	-0.342182	-0.0520476	-0.0359928	0.024975	-0.0210825	0.00799249	-0.021409	0.00174916	0.0768137	-0.0204376	0.0803771	-0.0273125	0.0192353	-0.110106	0.0505042	-0.161274	-0.0862488	-0.257953	-0.0238948	0.0827235	-0.0347093
0.514756	0.561494	-0.0466114	0.342533	0.162564	0.0313389	0.237867	0.0305999	-0.163259	-0.799322	-0.102565	-0.114159	-0.484913	-0.202166	0.185124	-0.0370433	0.0286965	-0.0500449	0.0471531	0.118018	0.023999	-0.050094	0.0187052	0.00538524	0.12922	-0.0189372	-0.133967	-0.0496658	0.0259383	-0.0614862	-0.18089	-0.0659133	-0.159296	-0.0788042	-0.122365	-0.170425	-0.0165387	0.0861245	0.061458	0.0486675	-0.021449	0.00284292	-0.0111559	0.0136849	0.11179	-0.0292398	0.00786868	-0.0619126	0.0134427	-0.0249862	-0.0895252	-0.0219923	-0.0285167	-0.0828951	-0.0823904	0.000722963	0.0593245	-0.163286	0.0294747	-0.0642992	0.024975	-0.0210825	0.0204473	0.0204844	0.0583619	-0.223234	0.0203236	0.0384837	-0.025048	0.0679222	-0.00367412	-0.0581922	-0.112587	0.0484895	-0.124347	0.140282	-0.0327664	0.0298292
-0.214113	0.0564618	0.0854388	-0.0482028	-0.115619	-0.271558	0.147081	0.094131	0.152914	0.01062	0.638	0.866029	0.197836	0.423971	-0.127752	-0.0101522	0.0592674	0.0126027	0.0635708	0.0919758	0.0517393	0.0178413	-0.257191	-0.373354	0.0907238	0.0147474	0.358564	0.134892	0.278431	0.133545	-0.0942721	0.0320267	0.0513028	0.127832	0.00218337	-0.00511587	-0.220345	-0.049746	-0.0472384	-0.108716	0.0691314	0.0481331	-0.0315365	-0.0338698	0.0257386	0.119086	-0.374833	0.290218	-0.306985	-0.00347337	0.0101132	-0.42281	0.0337573	0.0631657	0.151986	-0.0502285	-0.196565	0.0427848	-0.0327993	-0.0439186	0.0464878	0.047985	-0.318097	0.0476585	-0.129592	0.0711524	-0.150647	-0.175512	-0.000138367	-0.110974	0.105022	0.0765461	-0.163538	-0.235706	-0.188886	0.00554385	0.0940461	0.0841774
-0.186836	-0.224179	0.136685	-0.483695	0.44745	0.663007	-0.0323479	0.144633	-0.0587639	-0.186269	0.387833	0.0499557	-0.252801	-0.13876	0.185124	-0.0823334	0.0558706	0.0371386	0.00299522	0.074992	-0.0612031	0.069925	-0.0594204	-0.146337	0.0839303	-0.0857402	-0.188315	-0.128357	-0.159751	-0.0951708	0.0438629	-0.0857278	-0.0398436	-0.0680478	-0.0951905	-0.0187029	0.0638513	0.0113957	0.0105066	0.0611223	0.00798963	0.0503976	-0.00662692	-0.0802922	0.000828976	-0.0473558	0.0191912	-0.169477	0.0406168	0.00105565	-0.0102674	-0.0412406	0.0201703	-0.0285469	-0.0767292	-0.00833507	0.123863	-0.189327	-0.00109613	-0.0597701	-0.037299	-0.0607114	0.0317698	-0.0406574	0.014204	0.0711524	0.0724073	0.0464095	-0.0635446	0.013574	-0.0127322	-0.0287536	0.107071	0.0235799	-0.137934	0.0168664	-0.066734	0.0502098
0.131495	-0.396869	0.366527	-0.225988	0.446104	-0.233119	0.0143413	0.249469	-0.332757	0.397897	0.213211	0.15139	0.197836	0.219033	-0.245506	0.0204186	-0.186432	-0.0813744	-0.0434272	0.0444212	0.00276928	-0.124823	-0.278704	-0.249372	0.082798	0.0750399	0.358564	0.0896015	0.0463188	-0.00487347	-0.160509	-0.024586	0.0122401	-0.317144	0.0814412	0.161326	-0.235064	0.0147925	-0.0121385	-0.175519	0.0725281	0.0322815	0.0409278	-0.0667051	0.0325321	0.155318	-0.314824	0.294747	-0.328498	0.0214362	-0.0827317	-0.486217	0.0405509	0.0529754	0.0942412	-0.0128641	-0.167126	-0.122524	0.0951455	-0.0518444	0.0861167	-0.0120245	-0.628334	0.0974777	-0.222437	0.0700201	-0.115547	0.0214999	-0.0499576	-0.0668161	-0.103313	0.0640913	-0.242796	-0.243632	-0.101702	-0.0623914	-0.0973049	0.0751194
0.0591255	-0.070538	-0.148106	0.0236929	0.125424	0.205056	-0.0400237	-0.297174	0.109771	-0.195094	0.0969048	-0.540075	-0.132782	0.269984	-0.0575519	0.0566508	-0.0664128	-0.0542003	-0.00719507	0.0670662	0.0647602	-0.0489617	0.409707	0.363744	0.0805335	0.0153135	-0.26644	-0.0502319	-0.148429	-0.060637	0.320133	0.0586347	0.0105417	0.127832	-0.0646196	-0.113812	0.0253547	-0.0101171	-0.0234611	0.0407417	0.0634701	0.0639847	-0.0722977	-0.0916147	0.0280031	-0.0371655	0.0203235	-0.149096	0.0802457	0.0282298	-0.131419	-0.025389	0.0484766	-0.128185	-0.182029	0.0414841	0.0649858	-0.149698	0.0623101	-0.0642992	0.00685891	0.0570431	-0.0191816	0.0895519	0.00854269	-0.0681149	0.0350429	0.0475417	-0.0556188	0.0328223	-0.0217902	0.0867363	-0.168067	-0.078323	-0.187753	-0.00577869	-0.114289	-0.0698092
0.222833	-0.149434	-0.259731	0.127964	-0.533242	-0.0261	0.0499919	-0.123422	-0.216644	-0.208177	-0.312615	-0.096413	0.197836	-0.101395	0.185124	-0.00392482	-0.0256517	0.00506188	0.0918772	0.157647	0.0390014	0.0552057	0.373474	0.363744	0.160924	-0.0381855	-0.208695	0.0171372	-0.0170874	-0.015913	0.105571	0.037688	0.016203	0.127832	-0.0680164	-0.105887	-0.233932	-0.0101171	-0.0936608	0.0328159	0.0125186	-0.0141409	-0.0462558	-0.00216665	-0.0501225	-0.00206566	0.00220741	-0.0302095	0.0428814	-0.00687013	0.0191712	0.00518185	-0.0239876	-0.0874242	-0.0586131	-0.0207899	0.0785728	-0.0908212	0.0792939	-0.128838	-0.0112572	-0.000701909	0.0159183	0.0861551	-0.0514668	-0.142844	-0.0317601	0.0124419	-0.0103287	0.0237643	-0.0614191	0.0935299	-0.0718255	-0.120216	-0.0858505	-0.0465398	0.0815913	0.0887064
0.413085	0.440744	-0.239214	0.298486	0.0429581	0.182455	0.841528	0.569838	-0.576375	0.0916348	-0.0978522	-0.0374996	-0.0457329	-0.0888668	0.0475668	0.0950619	0.101479	-0.0507637	0.414207	0.162173	0.0998551	-0.0430494	0.389789	0.0894036	0.170976	0.0285506	0.140612	-0.0242653	0.0453081	0.138964	-0.0197819	-0.00433052	0.178958	0.0813158	0.0274226	0.246149	-0.310106	0.172501	0.289357	0.0297567	0.217799	-0.0168391	0.333404	0.270704	0.163182	0.322255	0.268065	0.0569064	-0.0238311	0.33774	-0.353517	0.00496268	-0.105593	0.313105	0.0148428	0.184741	0.214839	0.21903	0.206769	0.170938	0.243695	-0.0224569	0.328152	-0.021461	0.225032	0.589797	-0.0317601	0.0124419	-0.0103287	0.0237643	-0.0614191	0.0935299	-0.0718255	-0.120216	-0.0858505	-0.0465398	0.0815913	0.0887064
-0.303787	-0.102038	-0.169579	-0.221052	-0.0135045	-0.0581048	0.110612	0.093327	-0.105221	-0.260961	-0.121508	-0.226523	-0.437359	-0.171595	-0.306648	-0.089127	-0.0947192	-0.0715578	-0.00945957	0.0195116	-0.0224234	-0.0987809	0.226281	0.162202	0.0409046	-0.0486589	-0.203034	-0.0558932	0.0123512	-0.0951708	-0.16334	-0.0528924	0.0201658	-0.103148	-0.206151	-0.202128	-0.255444	0.017057	0.0116388	-0.0917321	0.00685738	0.0436041	-0.0530494	-0.0723664	-0.0229484	0.0692664	0.0112654	-0.0313418	0.00664921	-0.00234111	0.00784867	0.0199012	0.00771548	0.0280658	-0.093713	0.000722963	0.118202	-0.0149602	0.105336	-0.127705	0.0770587	0.038927	0.0295053	0.0861551	-0.0276894	-0.24135	0.138078	0.0588643	0.0157132	0.0214998	-0.0784029	0.0493719	0.109335	-0.214194	-0.118686	0.00894062	0.0951783	0.0411518
-0.0662177	0.207214	-0.235845	-0.0578425	-0.146588	0.166617	-0.145007	0.123473	-0.179769	-0.0383691	-0.016806	0.135081	0.0472463	0.352639	0.163985	-0.00505707	-0.0352758	0.0190226	-0.0394643	-0.0835236	0.019187	0.0144445	0.0209697	0.0727544	-0.0847756	-0.0316751	0.358564	0.00355014	-0.00123585	-0.0467669	0.240309	0.0303283	0.0116739	0.0949968	-0.146142	-0.118341	0.00384184	0.0408343	0.0116388	0.0633868	-0.0282425	-0.0696214	-0.0168172	-0.0463246	0.0506482	-0.0382978	0.022588	-0.112864	0.0609974	-0.00347337	0.0486098	0.0561333	0.0179058	0.0427851	-0.112961	0.00411973	0.0774406	-0.0466633	0.103071	-0.161673	-0.0101249	0.0581753	0.0261086	0.0929487	0.0130717	-0.114537	-0.0453472	0.0996254	0.00891967	0.0350868	-0.0693449	0.0244624	-0.0672965	-0.124745	-0.0496183	-0.0227625	0.0532849	0.0253002
