	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1	arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C
tfAR	-0.0111281	-0	0.000218797	-0	-0	-0	-0	0.000432442	-0	0.000258877	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000252244	-0	-0	-0	0.000243989	-0	-0	-0	0.000265206	0.000228888	-0	-0	-0	-0	0.000134296	-0	-0	0.000216658	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00105385	-0	-0	-0	-0	-0	-0
tfATF1	-0	-0.008808	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000477093	-0	-0	0.000456947	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfBRCA1	-0	0.00039103	-0.0093865	-0	-0	-0	0.000409952	0.000588366	0.00032596	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000343194	-0	-0	-0	-0	-0	-0	-0	-0	0.000311417	-0	-0	-0	-0	0.000182719	-0	-0	0.000294778	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0.000738263	-0	-0.000926593	-0	-0.000919239	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfCEBPA	0.000338932	-0	-0	-0.011172	-0	-0	-0	-0	-0	-0	-0	-0	0.00028682	-0	0.000305279	-0	-0	-0	-0	-0	0.000449577	-0	0.000279011	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000178257	0.000251855	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfCEBPB	-0	-0	-0	-0	-0.00918	-0	0.000435657	-0	-0	0.000374305	0.000410304	0.000347205	-0	0.000365282	0.000332543	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000405496	-0	-0	-0	-0	-0	-0	0.00031326	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00116869	-0	-0	-0	-0	-0	-0.00108985
tfCEBPD	0.000512715	-0	-0	-0	-0	-0.009996	-0	-0	-0	-0	-0	-0	-0	-0	0.000461809	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfCREB1	0.000466257	-0	-0	-0	-0	-0	-0.00828	-0	-0	-0	-0	0.000438481	-0	-0	0.000419965	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00167932	-0	-0	-0	-0	-0	-0	-0	-0.000891843	-0	-0	-0	-0	-0
tfE2F1	-0	-0	-0	0.000315504	-0	-0	-0	-0.00860688	0.000300752	-0	0.000356239	0.000301452	-0	0.000317148	0.000288723	-0	-0	-0	-0	-0	-0	-0	0.00026388	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000287336	-0	-0	-0	-0	0.00016859	-0	-0	0.000271981	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0.000665347	-0	-0	-0	-0	-0	-0.000726789	-0.00051539	-0	-0	-0	-0.000722685	-0	-0	-0	-0	-0.000724235	-0
tfE2F4	-0	-0	-0	-0	-0	-0	-0	-0	-0.008832	-0	-0	0.000526833	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfEGR1	-0	0.000437366	-0	-0	-0	-0	0.000458529	-0	-0	-0.0109469	-0	0.000365434	-0	0.000384459	0.000350002	-0	-0	-0	0.000367502	-0	0.000515439	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000348318	-0	-0	0.000330737	-0	0.00020437	-0	0.000389059	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
