arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
5.09041	6.42761	5.82864	6.77384	3.61427	4.14142	6.88836	6.6188	4.05582	4.41843	5.69494	5.08304	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.8632	8.66511	4.43853	9.10659	4.01315	3.85856	7.56401	5.436	5.19444	4.15101	5.1647	6.04454	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
6.84828	6.85559	5.04597	6.41302	2.90948	2.61928	6.70951	6.98609	6.43972	3.55679	7.06014	7.06007	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.21277	5.53341	5.1735	5.8844	4.70004	5.94677	7.04794	6.01103	5.42643	3.92473	7.18352	4.34305	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.46552	5.61518	6.22971	5.91714	4.82538	2.93244	6.58968	7.3742	4.44727	4.83838	7.1686	4.52444	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.66482	6.48564	4.38694	6.90208	4.15449	4.00035	7.27135	5.67054	6.16027	4.24416	5.26569	4.80909	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.98193	7.09233	3.88025	7.66329	3.77276	3.49959	6.89318	5.68245	5.21951	4.88884	4.43705	5.13601	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.301	6.92681	4.72132	7.75401	2.97881	5.37206	5.2152	4.43401	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	8.56147	7.29086	7.44176	4.3295	6.49319	5.35873	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	7.8938	3.53059	4.45092	6.79545	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	0.254381	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.15763	5.79652	3.94255	6.05424	3.44322	3.44871	6.89318	6.1033	5.4755	4.44599	4.84908	3.25528	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.44061	7.07783	4.07299	7.58962	3.9522	4.14719	6.80767	6.57773	5.00725	4.39708	5.96178	4.57794	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.43841	6.50345	3.16475	6.88775	3.45503	4.29042	5.82069	6.69262	5.38163	5.71011	5.48548	3.54475	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
