Time	[arnIL1F10]	YBX1 ka 10x	YBX1 kd 10x	MIR34A ka 10x
0	5.64633	5.64633	5.64633	5.64633
0.6	5.64633	5.66644	5.64632	5.64633
1.2	5.64633	5.6863	5.64627	5.64633
1.8	5.64633	5.7059	5.64619	5.64633
2.4	5.64633	5.72527	5.64608	5.64633
3	5.64633	5.74439	5.64594	5.64633
3.6	5.64633	5.76327	5.64578	5.64633
4.2	5.64633	5.78192	5.64559	5.64633
4.8	5.64633	5.80034	5.64537	5.64633
5.4	5.64633	5.81852	5.64513	5.64633
6	5.64633	5.83648	5.64487	5.64633
6.6	5.64633	5.85422	5.64459	5.64633
7.2	5.64633	5.87173	5.64428	5.64633
7.8	5.64633	5.88903	5.64396	5.64633
8.4	5.64633	5.90611	5.64361	5.64633
9	5.64633	5.92297	5.64325	5.64633
9.6	5.64633	5.93963	5.64286	5.64633
10.2	5.64633	5.95608	5.64246	5.64633
10.8	5.64633	5.97232	5.64205	5.64633
11.4	5.64633	5.98836	5.64162	5.64633
12	5.64633	6.0042	5.64117	5.64633
12.6	5.64633	6.01984	5.64071	5.64633
13.2	5.64633	6.03529	5.64023	5.64633
13.8	5.64633	6.05055	5.63975	5.64633
14.4	5.64633	6.06561	5.63925	5.64633
15	5.64633	6.08049	5.63873	5.64633
15.6	5.64633	6.09518	5.63821	5.64633
16.2	5.64633	6.10969	5.63768	5.64633
16.8	5.64633	6.12402	5.63713	5.64633
17.4	5.64633	6.13816	5.63658	5.64633
18	5.64633	6.15214	5.63601	5.64633
18.6	5.64633	6.16594	5.63544	5.64633
19.2	5.64633	6.17956	5.63486	5.64633
19.8	5.64633	6.19302	5.63427	5.64633
20.4	5.64633	6.20631	5.63367	5.64633
21	5.64633	6.21943	5.63307	5.64633
21.6	5.64633	6.23239	5.63246	5.64633
22.2	5.64633	6.24519	5.63184	5.64633
22.8	5.64633	6.25782	5.63122	5.64633
23.4	5.64633	6.27031	5.63059	5.64633
24	5.64633	6.28263	5.62996	5.64633
24.6	5.64633	6.2948	5.62932	5.64633
25.2	5.64633	6.30682	5.62868	5.64633
25.8	5.64633	6.31869	5.62803	5.64633
26.4	5.64633	6.33041	5.62738	5.64633
27	5.64633	6.34199	5.62672	5.64633
27.6	5.64633	6.35342	5.62606	5.64633
28.2	5.64633	6.36471	5.6254	5.64633
28.8	5.64633	6.37586	5.62474	5.64633
29.4	5.64633	6.38687	5.62407	5.64633
30	5.64633	6.39774	5.6234	5.64633
			5.62273	5.64633
			5.62205	5.64632
			5.62138	5.64632
			5.6207	5.64632
			5.62002	5.64632
			5.61934	5.64632
			5.61866	5.64632
			5.61798	5.64632
			5.61729	5.64632
			5.61661	5.64632
			5.61593	5.64632
			5.61524	5.64632
			5.61456	5.64632
			5.61388	5.64632
			5.61319	5.64632
			5.61251	5.64632
			5.61183	5.64632
			5.61114	5.64632
			5.61046	5.64632
			5.60978	5.64632
			5.6091	5.64632
			5.60842	5.64631
			5.60775	5.64631
			5.60707	5.64631
			5.60639	5.64631
			5.60572	5.64631
			5.60505	5.64631
			5.60438	5.64631
			5.60371	5.64631
			5.60304	5.64631
			5.60238	5.64631
			5.60171	5.64631
			5.60105	5.64631
			5.60039	5.64631
			5.59973	5.64631
			5.59908	5.6463
			5.59842	5.6463
			5.59777	5.6463
			5.59712	5.6463
			5.59648	5.6463
			5.59583	5.6463
			5.59519	5.6463
			5.59455	5.6463
			5.59391	5.6463
			5.59328	5.6463
			5.59265	5.64629
			5.59202	5.64629
			5.59139	5.64629
			5.59076	5.64629
			5.59014	5.64629
